time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
2.26,3.0,0.0,1.16,3.0,0.53,0.03,1.0,0.09,0.0,0.12,1.0,0.16,0.05,0.29,0.71,0.29,0.0,1.0,0.0,0.89,0.0,0.89,0.11,0.16,0.04,13.0,0.0,5.7,3.22,13.0,13.0,0.01,0.23,1.0,0.77,0.02,0.04
3.0,28.0,0.0,2.78,28.0,4.06,0.04,1.0,0.27,0.0,0.15,1.0,0.2,0.01,0.22,0.78,0.22,0.0,1.0,0.0,0.46,0.0,0.46,0.08,0.09,0.01,21.0,0.0,15.69,7.67,21.0,22.0,0.0,0.28,6.0,0.85,0.02,0.05
1.57,5.0,1.0,2.1,4.0,1.1,0.05,0.67,0.1,0.0,0.21,0.66,0.18,0.0,0.32,0.35,0.32,0.05,0.62,0.05,0.48,0.0,0.48,0.15,0.14,0.05,5.0,0.0,3.31,1.32,5.0,5.0,0.0,0.12,2.0,0.9,0.02,0.07
1.88,4.0,1.0,1.98,3.0,0.79,0.07,0.5,0.25,0.0,0.23,0.5,0.12,0.02,0.24,0.26,0.24,0.01,0.49,0.01,0.28,0.0,0.28,0.09,0.07,0.16,13.0,0.0,5.85,4.21,13.0,13.0,0.01,0.2,1.0,0.8,0.02,0.05
3.0,6.0,0.0,1.71,6.0,1.18,0.02,0.75,0.5,0.0,0.15,0.75,0.15,0.07,0.36,0.39,0.36,0.01,0.74,0.01,0.37,0.0,0.37,0.09,0.08,0.08,7.0,-1.0,2.61,2.89,8.0,9.0,0.0,0.08,2.0,0.93,0.01,0.04
3.0,2.0,0.0,0.95,2.0,0.26,0.02,1.0,0.36,0.0,0.14,1.0,0.14,0.12,0.11,0.89,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.1,0.15,0.07,2.0,-3.0,0.41,0.93,5.0,7.0,0.0,0.06,1.0,0.94,0.01,0.05
1.47,15.0,0.0,3.39,15.0,4.5,0.1,2.14,0.16,0.0,0.38,2.14,0.57,0.0,0.18,1.97,0.18,0.04,2.1,0.04,0.94,0.0,0.94,0.18,0.23,0.0,11.0,0.0,8.11,3.56,11.0,11.0,0.01,0.25,1.0,0.75,0.04,0.09
1.55,5.0,0.0,1.92,5.0,1.09,0.07,0.31,0.36,0.0,0.11,0.31,0.07,0.07,0.18,0.13,0.18,0.02,0.29,0.02,0.14,0.0,0.14,0.05,0.04,0.12,0.0,-10.0,-4.0,2.93,10.0,10.0,0.01,0.17,2.0,0.85,0.01,0.03
2.98,7.0,0.0,2.44,7.0,1.72,0.08,1.0,0.05,0.0,0.28,1.0,0.25,0.04,0.48,0.52,0.48,0.0,1.0,0.0,0.53,0.0,0.53,0.11,0.1,0.12,0.0,-4.0,-1.01,1.08,4.0,4.0,0.0,0.04,1.0,0.96,0.0,0.0
2.5,5.0,0.0,1.8,5.0,1.35,0.04,0.71,0.04,0.0,0.11,0.71,0.12,0.04,0.27,0.44,0.27,0.0,0.71,0.0,0.59,0.0,0.59,0.06,0.09,0.21,0.0,-6.0,-3.96,1.58,6.0,11.0,0.0,0.2,1.0,0.8,0.01,0.03
0.96,4.0,0.0,1.3,4.0,0.67,0.22,2.0,0.12,0.0,0.53,2.0,0.44,0.27,0.22,1.78,0.22,0.05,1.95,0.05,1.67,0.0,1.67,0.25,0.33,0.29,4.0,-2.0,1.01,2.07,6.0,10.0,0.01,0.06,1.0,0.94,0.03,0.12
