time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
1.51,9.0,1.0,3.12,8.0,1.89,0.11,0.63,0.39,0.0,0.19,0.62,0.14,0.04,0.27,0.35,0.27,0.01,0.61,0.01,0.39,0.0,0.39,0.09,0.08,0.04,8.0,0.0,4.92,2.94,8.0,8.0,0.01,0.16,1.0,0.84,0.01,0.02
2.63,9.0,0.0,3.52,9.0,2.58,0.07,0.88,0.38,0.0,0.22,0.88,0.2,0.06,0.28,0.6,0.28,0.01,0.87,0.01,0.68,0.0,0.68,0.1,0.12,0.02,5.0,-2.0,1.24,2.28,7.0,14.0,0.01,0.28,1.0,0.72,0.02,0.03
1.97,35.0,1.0,5.71,34.0,6.58,0.18,4.0,0.38,0.0,0.42,4.0,0.62,0.07,0.71,3.29,0.71,0.01,3.99,0.01,3.87,0.0,3.87,0.25,0.69,0.03,3.0,0.0,2.81,0.69,3.0,3.0,0.0,0.05,1.0,0.95,0.0,0.01
1.55,13.0,0.0,3.97,13.0,3.46,0.09,0.76,0.18,0.0,0.23,0.76,0.22,0.09,0.29,0.47,0.29,0.01,0.76,0.01,0.35,0.0,0.35,0.06,0.07,0.03,10.0,0.0,3.8,3.22,10.0,19.0,0.01,0.56,3.0,0.65,0.03,0.05
1.18,6.0,0.0,1.54,6.0,1.15,0.09,2.0,0.47,0.0,0.41,2.0,0.4,0.08,0.05,1.95,0.05,0.14,1.86,0.14,1.79,0.0,1.79,0.32,0.39,0.12,1.0,-4.0,-1.3,1.8,5.0,6.0,0.01,0.09,1.0,0.91,0.01,0.04
1.02,1.0,0.0,0.99,1.0,0.11,0.08,0.5,0.18,0.0,0.15,0.5,0.11,0.04,0.13,0.38,0.13,0.06,0.44,0.06,0.39,0.0,0.39,0.1,0.1,0.05,0.0,-2.0,-0.94,0.38,2.0,2.0,0.0,0.02,1.0,0.98,0.0,0.03
2.22,16.0,0.0,2.84,16.0,2.91,0.14,4.33,0.46,0.0,0.4,4.33,0.53,0.02,0.15,4.18,0.15,0.03,4.31,0.03,3.22,0.0,3.22,0.27,0.43,0.03,53.0,0.0,29.26,14.77,53.0,80.0,0.04,0.75,6.0,0.52,0.1,0.16
1.43,20.0,0.0,1.65,20.0,2.48,0.07,1.5,0.25,0.0,0.36,1.5,0.38,0.08,0.5,1.0,0.5,0.01,1.49,0.01,1.0,0.0,1.0,0.24,0.27,0.08,2.0,0.0,1.3,0.89,2.0,2.0,0.0,0.03,1.0,0.97,0.01,0.06
3.0,13.0,0.0,2.72,13.0,3.14,0.07,1.44,0.1,0.0,0.33,1.44,0.39,0.4,0.38,1.06,0.38,0.0,1.44,0.0,0.38,0.0,0.38,0.08,0.1,0.41,0.0,-5.0,-2.68,1.76,5.0,6.0,0.0,0.07,2.0,0.94,0.01,0.03
3.0,5.0,0.0,0.86,5.0,1.04,0.02,0.3,0.01,0.0,0.05,0.3,0.06,0.27,0.16,0.14,0.16,0.0,0.3,0.0,0.19,0.0,0.19,0.03,0.03,0.28,22.0,0.0,18.59,5.33,22.0,29.0,0.0,0.19,3.0,0.82,0.01,0.03
3.0,10.0,0.0,1.75,10.0,1.49,0.02,0.31,0.42,0.0,0.09,0.31,0.08,0.04,0.31,0.0,0.31,0.01,0.3,0.01,0.24,0.0,0.24,0.06,0.05,0.02,2.0,-1.0,0.61,0.89,3.0,7.0,0.0,0.11,2.0,0.9,0.01,0.02
1.82,7.0,0.0,2.43,7.0,2.1,0.05,1.17,0.06,0.0,0.26,1.17,0.31,0.15,0.47,0.7,0.47,0.0,1.16,0.0,0.93,0.0,0.93,0.14,0.18,0.16,0.0,-4.0,-1.36,1.23,4.0,5.0,0.0,0.14,1.0,0.86,0.01,0.04
3.0,50.0,0.0,5.33,50.0,6.42,0.22,6.5,0.11,0.0,0.7,6.5,0.99,0.13,1.13,5.37,1.13,0.01,6.49,0.01,4.5,0.0,4.5,0.37,0.78,0.09,52.0,-9.0,19.24,20.53,61.0,114.0,0.03,0.72,8.0,0.59,0.09,0.17
1.04,33.0,0.0,8.74,33.0,9.87,0.23,3.1,0.11,0.0,0.8,3.1,0.93,0.0,1.36,1.74,1.36,0.01,3.09,0.01,1.19,0.0,1.19,0.23,0.32,0.0,2.0,0.0,0.25,0.63,2.0,2.0,0.0,0.07,1.0,0.93,0.0,0.0
1.68,5.0,1.0,2.36,4.0,1.11,0.14,1.0,0.04,0.0,0.29,1.0,0.17,0.17,0.14,0.86,0.14,0.02,0.98,0.02,0.89,0.0,0.89,0.13,0.14,0.2,6.0,0.0,4.61,2.23,6.0,11.0,0.01,0.11,2.0,0.9,0.01,0.04
1.79,7.0,1.0,2.9,6.0,2.0,0.08,0.88,0.11,0.0,0.35,0.87,0.28,0.16,0.3,0.57,0.3,0.01,0.87,0.01,0.52,0.0,0.52,0.12,0.11,0.2,0.0,-12.0,-8.39,3.66,12.0,20.0,0.01,0.4,2.0,0.68,0.04,0.07
1.65,3.0,1.0,1.27,2.0,0.55,0.06,0.43,0.12,0.0,0.13,0.43,0.09,0.07,0.05,0.38,0.05,0.01,0.42,0.01,0.19,0.0,0.19,0.07,0.05,0.11,0.0,-1.0,-0.92,0.27,1.0,1.0,0.0,0.01,1.0,0.99,0.0,0.01
2.27,8.0,0.0,2.21,8.0,1.68,0.09,1.0,0.34,0.0,0.24,1.0,0.24,0.06,0.17,0.83,0.17,0.01,0.99,0.01,0.56,0.0,0.56,0.11,0.11,0.03,0.0,-20.0,-12.64,5.68,20.0,20.0,0.01,0.22,2.0,0.86,0.02,0.07
1.55,2.0,1.0,1.1,1.0,0.3,0.07,2.0,0.37,0.0,0.36,2.0,0.35,0.24,0.08,1.92,0.08,0.02,1.98,0.01,1.75,0.0,1.75,0.21,0.36,0.24,0.0,-5.0,-1.82,1.73,5.0,5.0,0.0,0.05,1.0,0.95,0.02,0.09
3.0,12.0,0.0,1.7,12.0,2.54,0.06,0.8,0.08,0.0,0.12,0.8,0.16,0.3,0.21,0.59,0.21,0.01,0.79,0.01,0.34,0.0,0.34,0.06,0.07,0.24,9.0,0.0,6.75,2.44,9.0,9.0,0.0,0.08,2.0,0.94,0.01,0.02
3.0,7.0,0.0,1.66,7.0,0.98,0.05,2.0,0.02,0.0,0.68,2.0,0.56,0.21,0.27,1.73,0.27,0.0,2.0,0.0,1.91,0.0,1.91,0.42,0.45,0.27,10.0,0.0,5.64,3.65,10.0,10.0,0.0,0.11,1.0,0.89,0.04,0.13
2.79,3.0,0.0,1.13,3.0,0.52,0.02,2.0,0.31,0.0,0.17,2.0,0.35,0.0,0.2,1.8,0.2,0.0,2.0,0.0,1.95,0.0,1.95,0.23,0.42,0.0,4.0,0.0,1.17,1.56,4.0,4.0,0.0,0.08,1.0,0.92,0.02,0.09
